TEAM,NO.,PLAYER,MINS,PTS,FGM,FGA,FG %,2PM,2PA,2P %,3PM,3PA,3P %,FTM,FTA,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-,GP,GW
ATENEO,9,J. Bahay,27.283333333333335,21.0,5.0,14.0,35.7,0.0,4.0,0.0,5.0,10.0,50.0,6.0,8.0,75.0,0.0,2.0,2.0,3.0,0.0,1.0,0.0,2.0,4.0,1.0,1,0
ATENEO,1,K. Ladi,33.21666666666667,17.0,4.0,12.0,33.3,3.0,8.0,37.5,1.0,4.0,25.0,8.0,8.0,100.0,0.0,8.0,8.0,1.0,2.0,0.0,1.0,2.0,5.0,0.0,1,0
ATENEO,10,S. Tuano,27.183333333333334,10.0,4.0,10.0,40.0,4.0,10.0,40.0,0.0,0.0,0.0,2.0,2.0,100.0,3.0,1.0,4.0,3.0,1.0,0.0,1.0,1.0,1.0,-22.0,1,0
ATENEO,14,D. Adili,30.416666666666668,7.0,3.0,6.0,50.0,3.0,6.0,50.0,0.0,0.0,0.0,1.0,2.0,50.0,2.0,6.0,8.0,1.0,2.0,0.0,0.0,2.0,2.0,-1.0,1,0
ATENEO,24,D. Escobar,24.116666666666667,6.0,2.0,6.0,33.3,1.0,4.0,25.0,1.0,2.0,50.0,1.0,2.0,50.0,0.0,1.0,1.0,2.0,2.0,3.0,0.0,3.0,1.0,-18.0,1,0
ATENEO,7,I. Espinosa,15.0,8.0,3.0,9.0,33.3,3.0,7.0,42.9,0.0,2.0,0.0,2.0,2.0,100.0,2.0,1.0,3.0,1.0,0.0,1.0,0.0,5.0,5.0,-6.0,1,0
ATENEO,19,W. Espina,14.7,4.0,2.0,4.0,50.0,2.0,3.0,66.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,14.0,1,0
ATENEO,16,J. Lazaro,11.733333333333333,2.0,1.0,3.0,33.3,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,6.0,1,0
ATENEO,3,A. Bongo,14.266666666666667,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1,0
ATENEO,15,J. Lazo,2.0166666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1,0
UP,19,G. Abadiano,23.466666666666665,18.0,7.0,11.0,63.6,6.0,8.0,75.0,1.0,3.0,33.3,3.0,4.0,75.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,4.0,3.0,4.0,1,1
UP,9,F. Nnoruka,25.733333333333334,17.0,6.0,11.0,54.5,6.0,11.0,54.5,0.0,0.0,0.0,5.0,7.0,71.4,8.0,7.0,15.0,0.0,3.0,2.0,4.0,3.0,6.0,-6.0,1,1
UP,8,J. Bayla,28.25,8.0,3.0,6.0,50.0,3.0,5.0,60.0,0.0,1.0,0.0,2.0,3.0,66.7,2.0,3.0,5.0,3.0,0.0,0.0,1.0,2.0,2.0,14.0,1,1
UP,16,R. Remogat,26.766666666666666,6.0,2.0,6.0,33.3,0.0,2.0,0.0,2.0,4.0,50.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,2.0,2.0,23.0,1,1
UP,55,J. Stevens,23.216666666666665,6.0,3.0,9.0,33.3,3.0,9.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,0.0,2.0,0.0,0.0,2.0,0.0,4.0,1,1
UP,18,H. Alarcon,16.5,8.0,1.0,9.0,11.1,1.0,6.0,16.7,0.0,3.0,0.0,6.0,8.0,75.0,0.0,4.0,4.0,1.0,2.0,0.0,0.0,2.0,4.0,-8.0,1,1
UP,33,S. Alter,11.683333333333334,7.0,3.0,3.0,100.0,3.0,3.0,100.0,0.0,0.0,0.0,1.0,3.0,33.3,2.0,2.0,4.0,0.0,0.0,0.0,1.0,2.0,2.0,12.0,1,1
UP,2,R. Torres,12.9,7.0,2.0,4.0,50.0,0.0,1.0,0.0,2.0,3.0,66.7,1.0,2.0,50.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-7.0,1,1
UP,10,T. Fortea,10.983333333333333,2.0,1.0,5.0,20.0,1.0,1.0,100.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0,-9.0,1,1
UP,13,M. Belmonte,8.633333333333333,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,7.0,1,1
UP,30,M. Yniguez,10.266666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,-9.0,1,1
UP,20,E. Felicida,1.5166666666666666,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,1,1
