TEAM,MINS,PTS,FGM,FGA,FG %,2PM,2PA,2P %,3PM,3PA,3P %,FTM,FTA,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-,PTO,PIP,SCP,BP,BL,PP,FBP,STP,GP,GW
ATENEO,200.0,62.0,21.0,66.0,31.8,13.0,37.0,35.1,8.0,29.0,27.6,12.0,26.0,46.2,17.0,34.0,51.0,11.0,9.0,7.0,2.0,19.0,23.0,2.0,8,16,14,25,12,34,0,37,1,1
UE,200.0,60.0,23.0,62.0,37.1,20.0,40.0,50.0,3.0,22.0,13.6,11.0,16.0,68.8,8.0,33.0,41.0,8.0,10.0,6.0,3.0,23.0,19.0,-2.0,4,36,9,11,2,13,7,49,1,0
