TEAM,MINS,PTS,FGM,FGA,FG %,2PM,2PA,2P %,3PM,3PA,3P %,FTM,FTA,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-,PTO,PIP,SCP,BP,BL,PP,FBP,STP,GP,GW
FEU,200.0,64.0,24.0,75.0,32.0,19.0,54.0,35.2,5.0,21.0,23.8,11.0,14.0,78.6,19.0,29.0,48.0,14.0,11.0,10.0,4.0,14.0,13.0,6.0,14,28,9,11,11,25,9,53,1,1
ADU,200.0,58.0,20.0,61.0,32.8,13.0,35.0,37.1,7.0,26.0,26.9,11.0,18.0,61.1,14.0,30.0,44.0,14.0,16.0,6.0,5.0,13.0,14.0,-6.0,11,12,6,31,4,35,4,27,1,0
