TEAM,MINS,PTS,FGM,FGA,FG %,2PM,2PA,2P %,3PM,3PA,3P %,FTM,FTA,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-,PTO,PIP,SCP,BP,BL,PP,FBP,STP,GP,GW
UP,200.0,59.0,17.0,51.0,33.3,13.0,35.0,37.1,4.0,16.0,25.0,21.0,36.0,58.3,13.0,26.0,39.0,10.0,13.0,3.0,1.0,23.0,32.0,-3.0,14,16,15,18,2,22,7,41,1,0
ADU,200.0,62.0,19.0,58.0,32.8,12.0,28.0,42.9,7.0,30.0,23.3,17.0,22.0,77.3,12.0,31.0,43.0,10.0,16.0,4.0,3.0,34.0,22.0,3.0,12,14,6,36,10,31,2,26,1,1
