TEAM,MINS,PTS,FGM,FGA,FG %,2PM,2PA,2P %,3PM,3PA,3P %,FTM,FTA,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-,PTO,PIP,SCP,BP,BL,PP,FBP,STP,GP,GW
UST,225.0,96.0,33.0,79.0,41.8,20.0,44.0,45.5,13.0,35.0,37.1,17.0,27.0,63.0,18.0,39.0,57.0,20.0,16.0,5.0,4.0,21.0,25.0,-1.0,2,32,15,42,11,47,8,54,1,0
ADU,225.0,97.0,35.0,82.0,42.7,20.0,46.0,43.5,15.0,36.0,41.7,12.0,16.0,75.0,11.0,29.0,40.0,24.0,9.0,9.0,6.0,25.0,20.0,1.0,19,28,10,44,10,57,14,53,1,1
