TEAM,MINS,PTS,FGM,FGA,FG %,2PM,2PA,2P %,3PM,3PA,3P %,FTM,FTA,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-,PTO,PIP,SCP,BP,BL,PP,FBP,STP,GP,GW
LA SALLE,200.0,83.0,33.0,73.0,45.2,26.0,53.0,49.1,7.0,20.0,35.0,10.0,22.0,45.5,17.0,23.0,40.0,22.0,7.0,5.0,4.0,18.0,20.0,-1.0,14,38,14,23,5,35,4,60,1,0
FEU,200.0,84.0,35.0,73.0,47.9,29.0,53.0,54.7,6.0,20.0,30.0,8.0,13.0,61.5,18.0,27.0,45.0,22.0,12.0,5.0,2.0,20.0,18.0,1.0,9,46,19,21,14,30,6,63,1,1
