TEAM,MINS,PTS,FGM,FGA,FG %,2PM,2PA,2P %,3PM,3PA,3P %,FTM,FTA,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-,PTO,PIP,SCP,BP,BL,PP,FBP,STP,GP,GW
UE,200.0,72.0,26.0,56.0,46.4,20.0,37.0,54.1,6.0,19.0,31.6,14.0,25.0,56.0,6.0,21.0,27.0,13.0,20.0,14.0,4.0,17.0,22.0,-12.0,20,34,3,11,3,24,8,61,1,0
LA SALLE,200.0,84.0,30.0,68.0,44.1,23.0,47.0,48.9,7.0,21.0,33.3,17.0,26.0,65.4,19.0,27.0,46.0,18.0,20.0,10.0,3.0,22.0,17.0,12.0,25,32,20,25,20,35,10,59,1,1
