TEAM,NO.,PLAYER,MINS,PTS,FGM,FGA,FG %,2PM,2PA,2P %,3PM,3PA,3P %,FTM,FTA,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-,GP,GW
NU,13,N. Enriquez,23.966666666666665,16.0,6.0,8.0,75.0,2.0,4.0,50.0,4.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,10.0,1,1
NU,7,P. Francisco,24.416666666666668,14.0,4.0,4.0,100.0,1.0,1.0,100.0,3.0,3.0,100.0,3.0,3.0,100.0,0.0,2.0,2.0,3.0,1.0,3.0,0.0,5.0,1.0,12.0,1,1
NU,18,O. John,29.533333333333335,12.0,5.0,8.0,62.5,5.0,7.0,71.4,0.0,1.0,0.0,2.0,4.0,50.0,0.0,8.0,8.0,2.0,4.0,2.0,3.0,2.0,2.0,15.0,1,1
NU,20,J. Figueroa,30.133333333333333,5.0,2.0,9.0,22.2,2.0,6.0,33.3,0.0,3.0,0.0,1.0,2.0,50.0,0.0,8.0,8.0,6.0,3.0,6.0,1.0,3.0,2.0,2.0,1,1
NU,25,M. Dela Cruz,10.133333333333333,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,3.0,1.0,5.0,1,1
NU,22,M. Parks,15.2,7.0,3.0,5.0,60.0,2.0,3.0,66.7,1.0,2.0,50.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,1,1
NU,11,T. Garcia,10.05,5.0,2.0,2.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,-1.0,1,1
NU,77,K. Padrones,21.483333333333334,4.0,2.0,3.0,66.7,2.0,3.0,66.7,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,6.0,2.0,2.0,0.0,0.0,4.0,3.0,10.0,1,1
NU,10,J. Manansala,12.716666666666667,4.0,1.0,7.0,14.3,1.0,4.0,25.0,0.0,3.0,0.0,2.0,2.0,100.0,0.0,4.0,4.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,1,1
NU,5,P. Palacielo,13.25,3.0,1.0,3.0,33.3,1.0,3.0,33.3,0.0,0.0,0.0,1.0,2.0,50.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,4.0,3.0,-9.0,1,1
