TEAM,MINS,PTS,FGM,FGA,FG %,2PM,2PA,2P %,3PM,3PA,3P %,FTM,FTA,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-,PTO,PIP,SCP,BP,BL,PP,FBP,STP,GP,GW
FEU,200.0,84.0,27.0,59.0,45.8,20.0,35.0,57.1,7.0,24.0,29.2,23.0,37.0,62.2,13.0,30.0,43.0,23.0,19.0,8.0,1.0,21.0,30.0,7.0,11,30,12,21,16,31,8,63,1,1
UE,200.0,77.0,32.0,76.0,42.1,27.0,54.0,50.0,5.0,22.0,22.7,8.0,19.0,42.1,17.0,28.0,45.0,20.0,15.0,8.0,4.0,30.0,21.0,-7.0,19,40,18,28,1,29,10,49,1,0
