TEAM,MINS,PTS,FGM,FGA,FG %,2PM,2PA,2P %,3PM,3PA,3P %,FTM,FTA,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-,PTO,PIP,SCP,BP,BL,PP,FBP,STP,GP,GW
LA SALLE,200.0,86.0,32.0,69.0,46.4,22.0,43.0,51.2,10.0,26.0,38.5,12.0,18.0,66.7,11.0,30.0,41.0,21.0,13.0,6.0,2.0,22.0,20.0,9.0,7,30,11,41,22,44,10,45,1,1
UST,200.0,77.0,33.0,76.0,43.4,26.0,47.0,55.3,7.0,29.0,24.1,4.0,14.0,28.6,16.0,28.0,44.0,20.0,12.0,3.0,3.0,20.0,21.0,-9.0,9,42,18,14,2,31,8,63,1,0
