TEAM,MINS,PTS,FGM,FGA,FG %,2PM,2PA,2P %,3PM,3PA,3P %,FTM,FTA,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-,PTO,PIP,SCP,BP,BL,PP,FBP,STP,GP,GW
ADU,200.0,69.0,23.0,70.0,32.9,18.0,43.0,41.9,5.0,27.0,18.5,18.0,19.0,94.7,21.0,29.0,50.0,13.0,13.0,9.0,6.0,20.0,15.0,10.0,11,26,12,42,13,25,10,27,1,1
UST,200.0,59.0,22.0,64.0,34.4,18.0,41.0,43.9,4.0,23.0,17.4,11.0,15.0,73.3,15.0,25.0,40.0,8.0,15.0,7.0,4.0,16.0,19.0,-10.0,0,24,9,16,5,24,4,43,1,0
