TEAM,MINS,PTS,FGM,FGA,FG %,2PM,2PA,2P %,3PM,3PA,3P %,FTM,FTA,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-,PTO,PIP,SCP,BP,BL,PP,FBP,STP,GP,GW
ATENEO,200.0,72.0,26.0,64.0,40.6,18.0,41.0,43.9,8.0,23.0,34.8,12.0,22.0,54.5,13.0,28.0,41.0,11.0,10.0,4.0,1.0,24.0,13.0,-6.0,2,22,14,9,11,38,8,63,1,0
LA SALLE,200.0,78.0,31.0,69.0,44.9,26.0,47.0,55.3,5.0,22.0,22.7,11.0,19.0,57.9,13.0,25.0,38.0,19.0,6.0,5.0,2.0,14.0,23.0,6.0,13,32,7,18,6,35,0,60,1,1
