TEAM,MINS,PTS,FGM,FGA,FG %,2PM,2PA,2P %,3PM,3PA,3P %,FTM,FTA,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-,PTO,PIP,SCP,BP,BL,PP,FBP,STP,GP,GW
ADU,200.0,58.0,25.0,78.0,32.1,21.0,52.0,40.4,4.0,26.0,15.4,4.0,10.0,40.0,19.0,33.0,52.0,17.0,16.0,8.0,3.0,21.0,18.0,-2.0,11,32,12,26,5,22,2,32,1,0
LA SALLE,200.0,60.0,22.0,62.0,35.5,17.0,42.0,40.5,5.0,20.0,25.0,11.0,26.0,42.3,14.0,36.0,50.0,17.0,16.0,11.0,7.0,18.0,21.0,2.0,9,24,3,19,8,25,4,41,1,1
