TEAM,MINS,PTS,FGM,FGA,FG %,2PM,2PA,2P %,3PM,3PA,3P %,FTM,FTA,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-,PTO,PIP,SCP,BP,BL,PP,FBP,STP,GP,GW
UP,200.0,83.0,28.0,57.0,49.1,23.0,41.0,56.1,5.0,16.0,31.3,22.0,27.0,81.5,9.0,29.0,38.0,17.0,14.0,10.0,1.0,28.0,22.0,14.0,18,36,9,26,19,25,5,57,1,1
ATENEO,200.0,69.0,25.0,65.0,38.5,21.0,42.0,50.0,4.0,23.0,17.4,15.0,28.0,53.6,15.0,23.0,38.0,14.0,15.0,5.0,0.0,24.0,26.0,-14.0,12,32,10,33,7,22,8,36,1,0
