TEAM,MINS,PTS,FGM,FGA,FG %,2PM,2PA,2P %,3PM,3PA,3P %,FTM,FTA,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-,PTO,PIP,SCP,BP,BL,PP,FBP,STP,GP,GW
ATENEO,200.0,81.0,25.0,64.0,39.1,20.0,47.0,42.6,5.0,17.0,29.4,26.0,30.0,86.7,11.0,30.0,41.0,14.0,12.0,8.0,2.0,33.0,26.0,7.0,13,30,7,39,31,25,7,42,1,1
LA SALLE,200.0,74.0,22.0,71.0,31.0,17.0,48.0,35.4,5.0,23.0,21.7,25.0,45.0,55.6,26.0,24.0,50.0,14.0,14.0,4.0,3.0,26.0,33.0,-7.0,15,32,20,29,0,17,8,45,1,0
