TEAM,MINS,PTS,FGM,FGA,FG %,2PM,2PA,2P %,3PM,3PA,3P %,FTM,FTA,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-,PTO,PIP,SCP,BP,BL,PP,FBP,STP,GP,GW
NU,200.0,66.0,25.0,65.0,38.5,19.0,48.0,39.6,6.0,17.0,35.3,10.0,15.0,66.7,6.0,27.0,33.0,16.0,15.0,12.0,2.0,23.0,17.0,1.0,19,26,4,33,6,30,15,33,1,1
ADU,200.0,65.0,19.0,59.0,32.2,9.0,28.0,32.1,10.0,31.0,32.3,17.0,27.0,63.0,14.0,35.0,49.0,12.0,21.0,11.0,7.0,19.0,23.0,-1.0,11,16,14,17,9,32,2,48,1,0
