TEAM,NO.,PLAYER,MINS,PTS,FGM,FGA,FG %,2PM,2PA,2P %,3PM,3PA,3P %,FTM,FTA,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-,GP,GW
UST,28,C. Akowe,37.61666666666667,26.0,8.0,10.0,80.0,8.0,10.0,80.0,0.0,0.0,0.0,10.0,20.0,50.0,3.0,13.0,16.0,1.0,3.0,1.0,0.0,2.0,14.0,1.0,1,0
UST,9,N. Cabanero,29.683333333333334,18.0,7.0,13.0,53.8,6.0,12.0,50.0,1.0,1.0,100.0,3.0,6.0,50.0,1.0,2.0,3.0,2.0,4.0,1.0,0.0,4.0,3.0,7.0,1,0
UST,19,K. Buenaflor,18.45,9.0,4.0,5.0,80.0,3.0,4.0,75.0,1.0,1.0,100.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,-1.0,1,0
UST,3,K. Paranada,27.1,8.0,1.0,7.0,14.3,1.0,4.0,25.0,0.0,3.0,0.0,6.0,9.0,66.7,0.0,1.0,1.0,5.0,4.0,1.0,0.0,1.0,7.0,-1.0,1,0
UST,1,L. Estacio,14.4,5.0,2.0,2.0,100.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,3.0,-3.0,1,0
UST,20,A. Acido,18.033333333333335,10.0,2.0,7.0,28.6,1.0,4.0,25.0,1.0,3.0,33.3,5.0,6.0,83.3,1.0,2.0,3.0,0.0,0.0,1.0,0.0,2.0,3.0,-3.0,1,0
UST,14,M. Llemit,25.65,8.0,2.0,3.0,66.7,2.0,2.0,100.0,0.0,1.0,0.0,4.0,6.0,66.7,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,-2.0,1,0
UST,11,F. Padrigao,9.983333333333333,2.0,1.0,4.0,25.0,1.0,1.0,100.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,1.0,2.0,0.0,0.0,2.0,5.0,1,0
UST,10,G. Crisostomo,11.416666666666666,2.0,1.0,3.0,33.3,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,5.0,0.0,-1.0,1,0
UST,33,E. Laure,2.2666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,-2.0,1,0
