TEAM,MINS,PTS,FGM,FGA,FG %,2PM,2PA,2P %,3PM,3PA,3P %,FTM,FTA,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-,PTO,PIP,SCP,BP,BL,PP,FBP,STP,GP,GW
UE,200.0,99.0,39.0,83.0,47.0,28.0,56.0,50.0,11.0,27.0,40.7,10.0,17.0,58.8,19.0,26.0,45.0,23.0,17.0,6.0,5.0,19.0,17.0,-12.0,14,44,18,18,9,45,17,81,1,0
UST,200.0,111.0,38.0,75.0,50.7,24.0,43.0,55.8,14.0,32.0,43.8,21.0,30.0,70.0,15.0,29.0,44.0,25.0,13.0,11.0,5.0,17.0,19.0,12.0,13,46,24,36,20,44,19,75,1,1
