TEAM,MINS,PTS,FGM,FGA,FG %,2PM,2PA,2P %,3PM,3PA,3P %,FTM,FTA,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-,PTO,PIP,SCP,BP,BL,PP,FBP,STP,GP,GW
UE,200.0,76.0,31.0,72.0,43.1,28.0,54.0,51.9,3.0,18.0,16.7,11.0,20.0,55.0,15.0,18.0,33.0,12.0,15.0,11.0,1.0,25.0,19.0,-19.0,14,42,10,27,2,23,12,49,1,0
FEU,200.0,95.0,34.0,68.0,50.0,26.0,43.0,60.5,8.0,25.0,32.0,19.0,30.0,63.3,18.0,29.0,47.0,24.0,17.0,11.0,6.0,19.0,25.0,19.0,11,36,16,19,25,40,16,76,1,1
