TEAM,MINS,PTS,FGM,FGA,FG %,2PM,2PA,2P %,3PM,3PA,3P %,FTM,FTA,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-,PTO,PIP,SCP,BP,BL,PP,FBP,STP,GP,GW
FEU,225.0,73.0,24.0,70.0,34.3,14.0,41.0,34.1,10.0,29.0,34.5,15.0,24.0,62.5,16.0,32.0,48.0,18.0,19.0,10.0,7.0,12.0,19.0,3.0,9,20,5,29,13,38,9,44,1,1
ADU,225.0,70.0,28.0,73.0,38.4,21.0,46.0,45.7,7.0,27.0,25.9,7.0,8.0,87.5,12.0,31.0,43.0,12.0,17.0,11.0,5.0,19.0,12.0,-3.0,6,24,9,34,5,39,4,36,1,0
