TEAM,NO.,PLAYER,MINS,PTS,FGM,FGA,FG %,2PM,2PA,2P %,3PM,3PA,3P %,FTM,FTA,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-,GP,GW
ADU,10,C. Manzano,24.566666666666666,19.0,8.0,14.0,57.1,7.0,12.0,58.3,1.0,2.0,50.0,2.0,4.0,50.0,4.0,5.0,9.0,1.0,4.0,0.0,1.0,3.0,5.0,11.0,1,0
ADU,15,R. Torres,16.0,8.0,4.0,10.0,40.0,4.0,6.0,66.7,0.0,4.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,2.0,2.0,1.0,0.0,3.0,1.0,-11.0,1,0
ADU,23,M. Ojarikre,12.466666666666667,4.0,2.0,4.0,50.0,2.0,4.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,6.0,0.0,1.0,0.0,1.0,3.0,5.0,-3.0,1,0
ADU,20,E. Anabo,17.466666666666665,1.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,3.0,33.3,2.0,4.0,6.0,1.0,2.0,2.0,0.0,1.0,2.0,-2.0,1,0
ADU,3,M. Montebon,19.916666666666668,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,3.0,1.0,-11.0,1,0
ADU,18,J. Erolon,22.55,10.0,4.0,14.0,28.6,3.0,9.0,33.3,1.0,5.0,20.0,1.0,1.0,100.0,1.0,5.0,6.0,4.0,2.0,2.0,0.0,4.0,1.0,9.0,1,0
ADU,27,A. Fransman,21.85,5.0,2.0,11.0,18.2,1.0,7.0,14.3,1.0,4.0,25.0,0.0,0.0,0.0,3.0,5.0,8.0,3.0,2.0,0.0,0.0,2.0,0.0,1.0,1,0
ADU,21,J. Medina,23.583333333333332,5.0,2.0,6.0,33.3,1.0,2.0,50.0,1.0,4.0,25.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,-1.0,1,0
ADU,9,L. Perez,7.9,4.0,2.0,4.0,50.0,2.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,-4.0,1,0
ADU,33,J. Tumaneng,10.733333333333333,2.0,1.0,2.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,1,0
ADU,8,H. Demisana,4.466666666666667,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,-5.0,1,0
ADU,11,J. Barcelona,4.366666666666666,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1,0
ADU,30,C. Ronzone,1.55,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,1,0
ADU,32,A. Ronzone,12.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1,0
LA SALLE,25,M. Phillips,25.833333333333332,17.0,7.0,16.0,43.8,7.0,16.0,43.8,0.0,0.0,0.0,3.0,7.0,42.9,5.0,11.0,16.0,1.0,2.0,3.0,4.0,2.0,5.0,9.0,1,1
LA SALLE,11,J. Cortez,24.35,16.0,6.0,8.0,75.0,6.0,6.0,100.0,0.0,2.0,0.0,4.0,6.0,66.7,1.0,3.0,4.0,4.0,4.0,2.0,0.0,1.0,5.0,5.0,1,1
LA SALLE,21,M. Amos,23.316666666666666,6.0,2.0,8.0,25.0,0.0,3.0,0.0,2.0,5.0,40.0,0.0,0.0,0.0,1.0,3.0,4.0,2.0,2.0,1.0,1.0,0.0,1.0,13.0,1,1
LA SALLE,7,E. Abadam,12.8,2.0,1.0,3.0,33.3,1.0,1.0,100.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,4.0,0.0,-3.0,1,1
LA SALLE,1,J. Macalalag,19.566666666666666,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,6.0,4.0,1.0,1.0,0.0,1.0,2.0,12.0,1,1
LA SALLE,34,L. Daep,15.233333333333333,8.0,3.0,7.0,42.9,1.0,2.0,50.0,2.0,5.0,40.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,2.0,0.0,1.0,3.0,-4.0,1,1
LA SALLE,2,V. Marasigan,11.95,3.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,6.0,50.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,2.0,2.0,7.0,1,1
LA SALLE,32,E. Gollena,16.7,3.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,-11.0,1,1
LA SALLE,19,D. Dungo,9.466666666666667,2.0,1.0,4.0,25.0,1.0,2.0,50.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1,1
LA SALLE,22,B. Nwankwo,4.816666666666666,2.0,1.0,2.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1,1
LA SALLE,13,K. Baclaan,22.866666666666667,1.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,2.0,3.0,4.0,2.0,1.0,0.0,2.0,2.0,-12.0,1,1
LA SALLE,9,L. Pablo,10.816666666666666,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,4.0,0.0,-17.0,1,1
LA SALLE,99,G. Gomez,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,1
