TEAM,NO.,PLAYER,MINS,PTS,FGM,FGA,FG %,2PM,2PA,2P %,3PM,3PA,3P %,FTM,FTA,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-,GP,GW
LA SALLE,11,J. Cortez,35.483333333333334,26.0,10.0,18.0,55.6,8.0,11.0,72.7,2.0,7.0,28.6,4.0,5.0,80.0,0.0,2.0,2.0,5.0,1.0,4.0,0.0,1.0,3.0,-5.0,1,1
LA SALLE,25,M. Phillips,35.86666666666667,18.0,8.0,15.0,53.3,8.0,15.0,53.3,0.0,0.0,0.0,2.0,5.0,40.0,3.0,8.0,11.0,0.0,3.0,1.0,0.0,3.0,8.0,0.0,1,1
LA SALLE,1,J. Macalalag,31.25,4.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,4.0,4.0,100.0,0.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,3.0,-4.0,1,1
LA SALLE,22,B. Nwankwo,6.333333333333333,4.0,2.0,3.0,66.7,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1,1
LA SALLE,19,D. Dungo,8.533333333333333,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,-16.0,1,1
LA SALLE,7,E. Abadam,24.45,18.0,6.0,13.0,46.2,4.0,6.0,66.7,2.0,7.0,28.6,4.0,4.0,100.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,3.0,16.0,1,1
LA SALLE,13,K. Baclaan,21.45,17.0,7.0,12.0,58.3,6.0,7.0,85.7,1.0,5.0,20.0,2.0,4.0,50.0,1.0,2.0,3.0,4.0,1.0,1.0,0.0,0.0,2.0,3.0,1,1
LA SALLE,9,L. Pablo,24.066666666666666,8.0,3.0,5.0,60.0,3.0,5.0,60.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0,4.0,5.0,3.0,0.0,1.0,0.0,4.0,1.0,1.0,1,1
LA SALLE,2,V. Marasigan,10.616666666666667,8.0,2.0,5.0,40.0,2.0,4.0,50.0,0.0,1.0,0.0,4.0,4.0,100.0,2.0,3.0,5.0,1.0,1.0,1.0,0.0,2.0,2.0,9.0,1,1
LA SALLE,32,E. Gollena,18.466666666666665,4.0,1.0,4.0,25.0,1.0,3.0,33.3,0.0,1.0,0.0,2.0,2.0,100.0,2.0,1.0,3.0,1.0,0.0,1.0,0.0,2.0,0.0,16.0,1,1
LA SALLE,34,L. Daep,5.45,3.0,1.0,2.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,-10.0,1,1
