TEAM,MINS,PTS,FGM,FGA,FG %,2PM,2PA,2P %,3PM,3PA,3P %,FTM,FTA,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-,PTO,PIP,SCP,BP,BL,PP,FBP,STP,GP,GW
UP,200.0,67.0,27.0,72.0,37.5,22.0,50.0,44.0,5.0,22.0,22.7,8.0,14.0,57.1,16.0,23.0,39.0,15.0,15.0,7.0,2.0,26.0,15.0,-20.0,10,36,8,44,1,23,20,23,1,0
UST,200.0,87.0,29.0,67.0,43.3,25.0,47.0,53.2,4.0,20.0,20.0,25.0,37.0,67.6,21.0,31.0,52.0,14.0,13.0,8.0,2.0,15.0,26.0,20.0,21,44,23,20,25,18,9,67,1,1
