TEAM,MINS,PTS,FGM,FGA,FG %,2PM,2PA,2P %,3PM,3PA,3P %,FTM,FTA,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-,PTO,PIP,SCP,BP,BL,PP,FBP,STP,GP,GW
NU,200.0,74.0,27.0,56.0,48.2,22.0,43.0,51.2,5.0,13.0,38.5,15.0,24.0,62.5,12.0,21.0,33.0,16.0,19.0,11.0,3.0,21.0,22.0,-4.0,21,42,9,32,0,17,19,42,1,0
UP,200.0,78.0,27.0,62.0,43.5,19.0,37.0,51.4,8.0,25.0,32.0,16.0,21.0,76.2,15.0,20.0,35.0,18.0,18.0,7.0,2.0,23.0,21.0,4.0,19,26,9,48,18,36,13,30,1,1
