TEAM,NO.,PLAYER,MINS,PTS,FGM,FGA,FG %,2PM,2PA,2P %,3PM,3PA,3P %,FTM,FTA,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-,GP,GW
ATENEO,1,K. Ladi,25.55,15.0,5.0,12.0,41.7,3.0,8.0,37.5,2.0,4.0,50.0,3.0,4.0,75.0,4.0,5.0,9.0,2.0,0.0,1.0,1.0,3.0,3.0,1.0,1,1
ATENEO,24,D. Escobar,23.166666666666668,15.0,6.0,14.0,42.9,5.0,12.0,41.7,1.0,2.0,50.0,2.0,2.0,100.0,2.0,7.0,9.0,1.0,2.0,0.0,0.0,5.0,2.0,18.0,1,1
ATENEO,19,W. Espina,15.7,7.0,3.0,6.0,50.0,3.0,4.0,75.0,0.0,2.0,0.0,1.0,2.0,50.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1,1
ATENEO,9,J. Bahay,26.4,3.0,1.0,6.0,16.7,0.0,3.0,0.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,4.0,4.0,6.0,3.0,4.0,0.0,4.0,3.0,10.0,1,1
ATENEO,14,D. Adili,13.983333333333333,2.0,1.0,6.0,16.7,1.0,6.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,1.0,2.0,0.0,0.0,5.0,1.0,0.0,1,1
ATENEO,10,S. Tuano,30.216666666666665,15.0,4.0,5.0,80.0,4.0,5.0,80.0,0.0,0.0,0.0,7.0,7.0,100.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,5.0,-9.0,1,1
ATENEO,16,J. Lazaro,10.35,9.0,3.0,6.0,50.0,2.0,5.0,40.0,1.0,1.0,100.0,2.0,3.0,66.7,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,2.0,2.0,1,1
ATENEO,7,I. Espinosa,16.883333333333333,8.0,1.0,4.0,25.0,1.0,3.0,33.3,0.0,1.0,0.0,6.0,6.0,100.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,4.0,1.0,1,1
ATENEO,3,A. Bongo,22.266666666666666,4.0,1.0,2.0,50.0,1.0,1.0,100.0,0.0,1.0,0.0,2.0,2.0,100.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,-7.0,1,1
ATENEO,15,J. Lazo,12.866666666666667,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,16.0,1,1
ATENEO,30,L. Fjellvang,2.533333333333333,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1,1
LA SALLE,25,M. Phillips,30.5,17.0,5.0,10.0,50.0,5.0,10.0,50.0,0.0,0.0,0.0,7.0,11.0,63.6,14.0,6.0,20.0,6.0,2.0,1.0,1.0,4.0,13.0,5.0,1,0
LA SALLE,11,J. Cortez,26.916666666666668,10.0,3.0,13.0,23.1,3.0,10.0,30.0,0.0,3.0,0.0,4.0,7.0,57.1,1.0,3.0,4.0,2.0,3.0,1.0,0.0,3.0,5.0,5.0,1,0
LA SALLE,32,E. Gollena,21.65,7.0,3.0,7.0,42.9,3.0,5.0,60.0,0.0,2.0,0.0,1.0,2.0,50.0,3.0,1.0,4.0,0.0,0.0,1.0,0.0,3.0,2.0,-4.0,1,0
LA SALLE,21,M. Amos,25.783333333333335,6.0,2.0,7.0,28.6,2.0,3.0,66.7,0.0,4.0,0.0,2.0,2.0,100.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,3.0,1.0,2.0,1,0
LA SALLE,19,D. Dungo,11.15,5.0,1.0,4.0,25.0,0.0,1.0,0.0,1.0,3.0,33.3,2.0,2.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,-17.0,1,0
LA SALLE,13,K. Baclaan,26.516666666666666,13.0,5.0,16.0,31.3,2.0,9.0,22.2,3.0,7.0,42.9,0.0,2.0,0.0,3.0,4.0,7.0,2.0,4.0,0.0,0.0,2.0,1.0,11.0,1,0
LA SALLE,9,L. Pablo,12.85,5.0,1.0,4.0,25.0,1.0,4.0,25.0,0.0,0.0,0.0,3.0,9.0,33.3,2.0,2.0,4.0,0.0,2.0,0.0,1.0,2.0,5.0,-11.0,1,0
