TEAM,MINS,PTS,FGM,FGA,FG %,2PM,2PA,2P %,3PM,3PA,3P %,FTM,FTA,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-,PTO,PIP,SCP,BP,BL,PP,FBP,STP,GP,GW
UST,200.0,69.0,25.0,67.0,37.3,15.0,36.0,41.7,10.0,31.0,32.3,9.0,24.0,37.5,12.0,27.0,39.0,14.0,17.0,7.0,1.0,18.0,21.0,-7.0,9,28,13,43,7,32,12,26,1,0
NU,200.0,76.0,30.0,72.0,41.7,26.0,54.0,48.1,4.0,18.0,22.2,12.0,18.0,66.7,18.0,34.0,52.0,15.0,16.0,10.0,6.0,21.0,18.0,7.0,15,46,20,30,7,18,19,46,1,1
