TEAM,NO.,PLAYER,MINS,PTS,FGM,FGA,FG %,2PM,2PA,2P %,3PM,3PA,3P %,FTM,FTA,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-,GP,GW
UST,28,C. Akowe,35.61666666666667,15.0,5.0,10.0,50.0,5.0,10.0,50.0,0.0,0.0,0.0,5.0,8.0,62.5,2.0,14.0,16.0,2.0,6.0,0.0,4.0,2.0,8.0,3.0,1,1
UST,9,N. Cabanero,33.21666666666667,14.0,5.0,17.0,29.4,4.0,11.0,36.4,1.0,6.0,16.7,3.0,4.0,75.0,3.0,4.0,7.0,6.0,3.0,0.0,0.0,1.0,2.0,5.0,1,1
UST,3,K. Paranada,19.833333333333332,7.0,2.0,5.0,40.0,1.0,2.0,50.0,1.0,3.0,33.3,2.0,2.0,100.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1,1
UST,19,K. Buenaflor,8.083333333333334,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,-2.0,1,1
UST,1,L. Estacio,12.166666666666666,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,1
UST,10,G. Crisostomo,26.783333333333335,10.0,4.0,7.0,57.1,4.0,5.0,80.0,0.0,2.0,0.0,2.0,2.0,100.0,3.0,6.0,9.0,1.0,3.0,1.0,2.0,2.0,3.0,7.0,1,1
UST,20,A. Acido,15.633333333333333,9.0,2.0,6.0,33.3,1.0,2.0,50.0,1.0,4.0,25.0,4.0,4.0,100.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,8.0,1,1
UST,11,F. Padrigao,17.466666666666665,6.0,2.0,6.0,33.3,0.0,2.0,0.0,2.0,4.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,3.0,2.0,6.0,1,1
UST,14,M. Llemit,23.1,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,50.0,0.0,5.0,5.0,2.0,1.0,1.0,0.0,4.0,2.0,5.0,1,1
UST,12,I. Danting,4.766666666666667,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,1,1
UST,2,I. Calum,3.2333333333333334,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1,1
ATENEO,1,K. Ladi,22.133333333333333,14.0,6.0,21.0,28.6,4.0,12.0,33.3,2.0,9.0,22.2,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,-5.0,1,0
ATENEO,24,D. Escobar,29.466666666666665,8.0,3.0,10.0,30.0,3.0,10.0,30.0,0.0,0.0,0.0,2.0,2.0,100.0,3.0,5.0,8.0,3.0,1.0,2.0,2.0,3.0,3.0,-2.0,1,0
ATENEO,9,J. Bahay,26.716666666666665,7.0,1.0,11.0,9.1,1.0,4.0,25.0,0.0,7.0,0.0,5.0,5.0,100.0,1.0,4.0,5.0,6.0,2.0,2.0,0.0,0.0,7.0,2.0,1,0
ATENEO,14,D. Adili,21.616666666666667,6.0,3.0,11.0,27.3,3.0,11.0,27.3,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,5.0,0.0,2.0,2.0,1.0,3.0,2.0,-9.0,1,0
ATENEO,19,W. Espina,17.95,2.0,1.0,5.0,20.0,1.0,2.0,50.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,1.0,1.0,0.0,2.0,0.0,-2.0,1,0
ATENEO,10,S. Tuano,18.05,8.0,4.0,9.0,44.4,4.0,7.0,57.1,0.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,3.0,0.0,1.0,1.0,1.0,3.0,1.0,-5.0,1,0
ATENEO,16,J. Lazaro,17.283333333333335,4.0,2.0,4.0,50.0,2.0,4.0,50.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1,0
ATENEO,3,A. Bongo,11.55,4.0,2.0,5.0,40.0,2.0,2.0,100.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,-7.0,1,0
ATENEO,7,I. Espinosa,14.25,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,100.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,-6.0,1,0
ATENEO,15,J. Lazo,12.683333333333334,2.0,1.0,4.0,25.0,1.0,1.0,100.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,-10.0,1,0
ATENEO,30,L. Fjellvang,8.233333333333333,2.0,1.0,2.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,1,0
