TEAM,MINS,PTS,FGM,FGA,FG %,2PM,2PA,2P %,3PM,3PA,3P %,FTM,FTA,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-,PTO,PIP,SCP,BP,BL,PP,FBP,STP,GP,GW
UE,200.0,74.0,23.0,57.0,40.4,19.0,43.0,44.2,4.0,14.0,28.6,24.0,31.0,77.4,10.0,21.0,31.0,14.0,12.0,11.0,2.0,21.0,26.0,-9.0,21,32,3,33,18,18,16,41,1,0
NU,200.0,83.0,29.0,63.0,46.0,23.0,47.0,48.9,6.0,16.0,37.5,19.0,24.0,79.2,16.0,26.0,42.0,21.0,16.0,7.0,5.0,26.0,21.0,9.0,19,42,16,38,13,22,13,45,1,1
