TEAM,MINS,PTS,FGM,FGA,FG %,2PM,2PA,2P %,3PM,3PA,3P %,FTM,FTA,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-,PTO,PIP,SCP,BP,BL,PP,FBP,STP,GP,GW
UP,200.0,66.0,26.0,56.0,46.4,21.0,36.0,58.3,5.0,20.0,25.0,9.0,16.0,56.3,8.0,27.0,35.0,14.0,15.0,7.0,1.0,21.0,19.0,7.0,22,30,5,32,12,27,10,34,1,1
NU,200.0,59.0,20.0,58.0,34.5,15.0,41.0,36.6,5.0,17.0,29.4,14.0,22.0,63.6,15.0,24.0,39.0,10.0,19.0,7.0,0.0,20.0,20.0,-7.0,16,16,6,26,13,29,6,33,1,0
