TEAM,MINS,PTS,FGM,FGA,FG %,2PM,2PA,2P %,3PM,3PA,3P %,FTM,FTA,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-,PTO,PIP,SCP,BP,BL,PP,FBP,STP,GP,GW
NU,200.0,75.0,27.0,52.0,51.9,18.0,34.0,52.9,9.0,18.0,50.0,12.0,18.0,66.7,4.0,32.0,36.0,19.0,22.0,13.0,4.0,30.0,18.0,8.0,16,26,4,26,13,37,10,49,1,1
LA SALLE,200.0,67.0,22.0,60.0,36.7,19.0,45.0,42.2,3.0,15.0,20.0,20.0,36.0,55.6,13.0,24.0,37.0,10.0,15.0,9.0,2.0,18.0,30.0,-8.0,11,28,10,20,5,19,16,47,1,0
