TEAM,GP,MINS,PTS,SCP,OFF,DEF,REB,AST,TO,PTO,STL,BLK,STK,FGM,FGA,FG %,2PM,2PA,2P %,3PM,3PA,3P %,FTM,FTA,FT %,PF,Fls on:,+/-,PIP,PP,FBP,STP,BP,BL,GW
ADU,6.0,1200.0,367.0,56.0,84.0,172.0,256.0,94.0,96.0,74.0,46.0,17.0,63.0,132.0,375.0,35.199999999999996,89.0,213.0,41.78403755868544,43.0,162.0,26.543209876543212,60.0,100.0,60.0,124.0,104.0,-11.0,132.0,175.0,18.0,194.0,173.0,59.0,2.0
ATENEO,6.0,1300.0,464.0,65.0,95.0,179.0,274.0,102.0,73.0,83.0,54.0,10.0,64.0,163.0,457.0,35.667396061269145,114.0,287.0,39.721254355400696,49.0,170.0,28.823529411764703,89.0,137.0,64.96350364963503,127.0,133.0,8.0,162.0,213.0,56.0,271.0,193.0,92.0,4.0
FEU,5.0,1025.0,353.0,62.0,81.0,146.0,227.0,72.0,69.0,54.0,34.0,20.0,54.0,130.0,348.0,37.35632183908046,100.0,233.0,42.91845493562232,30.0,115.0,26.08695652173913,63.0,89.0,70.78651685393258,86.0,74.0,-18.0,142.0,148.0,43.0,278.0,75.0,23.0,1.0
LA SALLE,6.0,1225.0,481.0,80.0,98.0,163.0,261.0,107.0,75.0,76.0,44.0,15.0,59.0,171.0,428.0,39.953271028037385,140.0,299.0,46.82274247491639,31.0,129.0,24.031007751937985,108.0,174.0,62.06896551724138,127.0,147.0,-15.0,230.0,143.0,34.0,281.0,200.0,45.0,3.0
NU,6.0,1200.0,429.0,66.0,75.0,174.0,249.0,86.0,99.0,112.0,57.0,19.0,76.0,159.0,375.0,42.4,131.0,279.0,46.95340501792115,28.0,96.0,29.166666666666668,83.0,120.0,69.16666666666667,137.0,115.0,37.0,202.0,144.0,79.0,222.0,207.0,71.0,5.0
UE,6.0,1225.0,463.0,51.0,71.0,168.0,239.0,102.0,96.0,54.0,37.0,18.0,55.0,168.0,402.0,41.7910447761194,124.0,262.0,47.32824427480916,44.0,140.0,31.428571428571427,83.0,129.0,64.34108527131784,121.0,119.0,-62.0,192.0,188.0,55.0,343.0,120.0,41.0,0.0
UP,6.0,1200.0,436.0,69.0,81.0,164.0,245.0,96.0,89.0,91.0,48.0,12.0,60.0,162.0,382.0,42.40837696335078,128.0,259.0,49.42084942084942,34.0,123.0,27.64227642276423,78.0,121.0,64.46280991735537,140.0,124.0,18.0,206.0,152.0,75.0,233.0,203.0,68.0,4.0
UST,5.0,1075.0,458.0,107.0,90.0,169.0,259.0,88.0,79.0,81.0,44.0,21.0,65.0,160.0,379.0,42.21635883905013,118.0,231.0,51.082251082251084,42.0,148.0,28.37837837837838,96.0,157.0,61.146496815286625,93.0,116.0,43.0,208.0,154.0,65.0,309.0,149.0,74.0,4.0
