TEAM,POS,PACE,OFF,DEF,NET,EFG%,TS%,PPWS,FTR,AR,TOR,hAST%,hTO%,STL%,BLK%,REB%,OREB%,DREB%,FFI,HHI,Py-W,Py-L
ADU,590.5192735042734,52.49060208926875,67.43217670728885,67.52531507290665,-0.0931383656178042,41.19278779472954,44.86861675756074,0.8973723351512147,0.27045769764216365,29.296249548872353,29.296249548872353,0.15006939625260238,0.15006939625260238,15.918193396497117,7.7897542153071,51.53439153439153,33.33333333333333,70.08547008547008,4.146134373456975,0.11376713165043802,5.4373732973310025,5.5626267026689975
ATENEO,596.7232765456988,56.162190733712826,66.91543898060434,68.39015939890967,-1.4747204183053384,40.23383768913342,44.11121372672921,0.8822242745345842,0.2998624484181568,28.656499037524025,21.618060677430403,0.1522815516688633,0.11487906529405478,14.41204045162027,2.513727985747721,48.796498905908095,32.708333333333336,66.58986175115207,3.990580217389972,0.11246195994505537,4.11035271731396,5.88964728268604
FEU,623.1397967032967,55.390204151404156,71.93409927779508,73.78761594630271,-1.8535166685076234,45.234899328859065,48.636971259429004,0.9727394251885801,0.2832214765100671,28.725496421026932,26.318331916471603,0.15158700586023507,0.13888418414010364,13.480121225509844,8.665792216399186,51.01604278074866,36.26373626373626,65.0,5.296794233277343,0.15531032406187661,4.3622942860326575,6.6377057139673425
LA SALLE,598.9970330855309,59.160200798570955,72.5379218928381,72.44610173854336,0.09182015429473722,44.60431654676259,48.328683991582245,0.9665736798316449,0.4,28.547720698907515,23.20545717630494,0.15168718731149983,0.12330128091402617,12.687875866181116,4.006697641951932,51.70789163722026,35.176991150442475,70.52896725440806,4.277859768544999,0.10650216311488543,5.052246363705647,4.947753636294353
NU,640.1788306451613,52.798254073827735,73.11238322709097,67.18435215462414,5.928031072466837,46.800000000000004,50.143772980107485,1.0028754596021496,0.2986666666666667,29.210587893314845,30.46023871228018,0.15196333376674034,0.15846443895462228,18.119936874997443,5.779635037714701,50.10504201680672,30.263157894736842,68.34677419354838,5.954688304646888,0.11123569285322721,9.617047237667315,2.3829527623326854
UE,714.7351574237973,58.94722947825132,68.94861612464345,78.25975736469016,-9.311141240046709,45.627376425855516,49.11203683402762,0.9822407366805525,0.3548795944233207,25.1841536169558,26.72318522688088,0.14027431421446385,0.14884663341645885,13.151724666632475,5.0368307233911604,45.36489151873767,28.118811881188122,62.47544204322201,3.5885997337189335,0.12425761320153061,1.3207677819983243,10.679232218001676
UP,608.0207559361108,55.274614176010076,75.1701312065119,71.28046136068758,3.889669845824315,47.36477115117892,50.72516847348374,1.0145033694696748,0.3092926490984743,30.097656735131118,27.630635691267912,0.15639421597784844,0.14357501794687727,16.94021116786068,5.2629782269081735,49.50385887541346,32.95964125560538,65.50976138828634,5.7337038655596055,0.10428477715943993,7.767455721855507,3.232544278144493
UST,696.1143863239215,60.53168576729752,77.35079328606838,73.7163331316668,3.63446015440158,49.18546365914787,51.92201620773049,1.0384403241546099,0.41228070175438597,27.007055692786437,23.990310110081566,0.1448649981506596,0.1286832696338306,12.785255088606345,5.889836613852361,52.25048923679061,37.95180722891566,65.83969465648855,6.959815886731957,0.12835949213357942,7.575788678324894,3.424211321675106
