TEAM,GP,MINS,PTS,SCP,OFF,DEF,REB,AST,TO,PTO,STL,BLK,STK,FGM,FGA,FG %,2PM,2PA,2P %,3PM,3PA,3P %,FTM,FTA,FT %,PF,Fls on:,+/-,PIP,PP,FBP,STP,BP,BL,GW
ADU,10.0,205.0,65.9,8.4,13.4,29.1,42.5,14.5,14.7,12.1,8.1,3.8,11.9,22.6,62.6,36.102236421725244,16.0,40.3,39.70223325062035,6.6,22.3,29.596412556053814,14.1,22.1,63.80090497737556,17.7,20.7,0.0,24.0,27.8,7.4,39.6,26.3,7.7,5.0
ATENEO,10.0,212.5,74.2,12.4,14.5,32.3,46.8,15.8,15.3,11.6,6.9,3.7,10.6,27.1,68.5,39.56204379562044,21.0,43.6,48.1651376146789,6.1,24.9,24.497991967871485,13.9,22.4,62.05357142857143,22.3,19.9,1.6,34.4,25.9,7.2,55.5,18.7,9.6,5.0
FEU,10.0,205.0,76.6,12.2,14.8,26.7,41.5,17.7,12.8,11.9,9.9,2.8,12.7,29.6,71.8,41.22562674094708,23.1,49.3,46.85598377281947,6.5,22.5,28.888888888888886,10.9,16.7,65.26946107784431,18.0,16.7,1.5,33.2,32.5,9.4,45.5,31.1,9.2,6.0
LA SALLE,10.0,202.5,78.9,9.8,11.7,29.3,41.0,16.6,16.4,12.2,8.2,3.2,11.4,29.0,66.4,43.674698795180724,22.1,43.7,50.57208237986271,6.9,22.7,30.396475770925107,14.0,21.3,65.72769953051643,24.1,20.3,-0.1,35.4,29.5,8.9,54.0,24.9,10.0,4.0
NU,10.0,202.5,65.3,10.6,13.1,25.6,38.7,14.2,16.1,12.6,7.7,1.8,9.5,22.2,61.6,36.038961038961034,16.7,38.6,43.26424870466321,5.5,23.0,23.91304347826087,15.4,24.0,64.16666666666667,19.7,23.2,-6.2,23.4,26.5,7.1,35.1,30.2,6.9,2.0
UE,10.0,202.5,83.8,14.7,16.2,29.9,46.1,20.4,14.0,14.0,10.1,3.8,13.9,30.2,70.7,42.71570014144272,22.0,44.0,50.0,8.2,26.7,30.711610486891384,15.2,23.8,63.86554621848739,20.7,20.2,10.0,34.2,34.4,11.8,49.5,34.3,16.8,10.0
UP,10.0,200.0,72.7,10.0,14.6,26.8,41.4,13.8,16.2,15.4,7.8,2.5,10.3,25.4,62.6,40.57507987220447,20.3,42.4,47.87735849056604,5.1,20.2,25.247524752475247,16.8,27.2,61.76470588235294,20.6,24.0,-3.4,31.0,24.9,8.8,50.4,22.3,9.2,3.0
UST,10.0,210.0,83.6,13.3,16.5,28.7,45.2,17.9,15.2,12.8,9.0,3.8,12.8,31.4,77.7,40.41184041184041,22.6,49.4,45.74898785425101,8.8,28.3,31.09540636042403,12.0,17.7,67.79661016949152,24.4,18.6,-3.4,35.2,36.4,14.2,49.5,34.1,10.0,5.0
