TEAM,GP,MINS,PTS,SCP,OFF,DEF,REB,AST,TO,PTO,STL,BLK,STK,FGM,FGA,FG %,2PM,2PA,2P %,3PM,3PA,3P %,FTM,FTA,FT %,PF,Fls on:,+/-,PIP,PP,FBP,STP,BP,BL,GW
ADU,8.0,200.0,61.25,8.0,12.5,27.5,40.0,13.375,14.0,13.75,8.25,3.375,11.625,21.125,59.625,35.42976939203354,15.75,39.75,39.62264150943396,5.375,19.875,27.044025157232703,13.625,21.25,64.11764705882354,18.0,20.375,-0.25,23.5,24.125,7.125,37.25,24.0,6.625,4.0
ATENEO,8.0,215.625,75.25,13.25,15.375,32.875,48.25,15.875,15.25,13.5,6.875,3.75,10.625,27.5,69.5,39.568345323741006,21.625,44.125,49.008498583569406,5.875,25.375,23.15270935960591,14.375,23.625,60.84656084656085,22.25,19.625,0.5,35.5,25.375,7.75,56.375,18.875,8.625,4.0
FEU,8.0,203.125,75.875,13.0,15.0,26.125,41.125,17.625,12.375,12.75,9.5,2.5,12.0,29.25,71.625,40.83769633507853,22.375,49.125,45.5470737913486,6.875,22.5,30.555555555555557,10.5,17.375,60.431654676258994,17.125,17.375,0.5,32.5,32.875,9.25,46.375,29.5,8.75,5.0
LA SALLE,7.0,203.57142857142858,80.71428571428571,10.428571428571429,13.0,30.285714285714285,43.285714285714285,16.285714285714285,15.714285714285714,11.0,7.428571428571429,3.0,10.428571428571429,29.142857142857142,68.57142857142857,42.5,22.428571428571427,45.57142857142857,49.21630094043887,6.714285714285714,23.0,29.19254658385093,15.714285714285714,22.285714285714285,70.51282051282051,24.857142857142858,20.285714285714285,1.7142857142857142,36.0,29.0,9.0,52.42857142857143,28.285714285714285,11.714285714285714,3.0
NU,8.0,203.125,67.0,10.75,13.0,26.0,39.0,14.875,16.25,13.25,7.625,1.75,9.375,23.0,62.0,37.096774193548384,17.125,38.625,44.336569579288025,5.875,23.375,25.13368983957219,15.125,23.25,65.05376344086021,19.75,22.5,-4.75,24.5,27.375,6.625,34.0,33.0,7.0,2.0
UE,8.0,203.125,84.5,14.75,15.875,30.125,46.0,21.0,13.375,12.75,10.375,4.125,14.5,30.5,71.125,42.88224956063269,22.125,44.0,50.28409090909091,8.375,27.125,30.87557603686636,15.125,23.375,64.70588235294117,20.25,20.375,10.5,35.5,33.875,12.0,48.375,36.125,18.0,8.0
UP,8.0,200.0,70.5,10.5,14.875,27.125,42.0,13.5,16.0,15.25,7.5,2.625,10.125,24.625,63.125,39.00990099009901,19.625,42.5,46.1764705882353,5.0,20.625,24.242424242424242,16.25,25.5,63.725490196078425,20.875,22.375,-2.375,29.5,24.75,8.375,45.625,24.875,9.375,3.0
UST,7.0,210.71428571428572,80.57142857142857,14.857142857142858,19.142857142857142,29.0,48.142857142857146,17.142857142857142,16.428571428571427,12.714285714285714,9.142857142857142,4.0,13.142857142857142,30.571428571428573,79.71428571428571,38.35125448028674,23.0,52.142857142857146,44.109589041095894,7.571428571428571,27.571428571428573,27.461139896373055,11.857142857142858,17.714285714285715,66.93548387096774,22.571428571428573,17.857142857142858,-6.428571428571429,38.285714285714285,30.428571428571427,15.714285714285714,51.142857142857146,29.428571428571427,8.571428571428571,2.0
