TEAM,GP,MINS,PTS,SCP,OFF,DEF,REB,AST,TO,PTO,STL,BLK,STK,FGM,FGA,FG %,2PM,2PA,2P %,3PM,3PA,3P %,FTM,FTA,FT %,PF,Fls on:,+/-,PIP,PP,FBP,STP,BP,BL,GW
ADU,6.0,1200.0,367.0,56.0,84.0,172.0,256.0,94.0,96.0,74.0,46.0,17.0,63.0,132.0,375.0,35.199999999999996,89.0,213.0,41.78403755868544,43.0,162.0,26.543209876543212,60.0,100.0,60.0,124.0,104.0,-11.0,132.0,175.0,18.0,194.0,173.0,59.0,2.0
ATENEO,5.0,1025.0,375.0,46.0,62.0,139.0,201.0,86.0,57.0,74.0,41.0,8.0,49.0,130.0,339.0,38.34808259587021,90.0,212.0,42.45283018867924,40.0,127.0,31.496062992125985,75.0,116.0,64.65517241379311,99.0,112.0,17.0,124.0,176.0,39.0,205.0,170.0,80.0,4.0
FEU,4.0,825.0,287.0,52.0,66.0,121.0,187.0,62.0,54.0,41.0,25.0,13.0,38.0,107.0,283.0,37.80918727915194,82.0,191.0,42.93193717277487,25.0,92.0,27.173913043478258,48.0,70.0,68.57142857142857,69.0,56.0,-15.0,118.0,121.0,37.0,223.0,64.0,18.0,1.0
LA SALLE,4.0,800.0,292.0,53.0,66.0,114.0,180.0,72.0,56.0,50.0,25.0,13.0,38.0,105.0,271.0,38.74538745387454,82.0,188.0,43.61702127659575,23.0,83.0,27.710843373493976,59.0,108.0,54.629629629629626,80.0,91.0,-12.0,140.0,93.0,22.0,188.0,104.0,34.0,2.0
NU,5.0,1000.0,347.0,60.0,69.0,145.0,214.0,75.0,80.0,100.0,52.0,18.0,70.0,130.0,323.0,40.24767801857585,106.0,240.0,44.166666666666664,24.0,83.0,28.915662650602407,63.0,91.0,69.23076923076923,103.0,92.0,33.0,166.0,118.0,70.0,188.0,159.0,65.0,4.0
UE,5.0,1000.0,353.0,44.0,61.0,135.0,196.0,76.0,75.0,48.0,33.0,15.0,48.0,129.0,329.0,39.209726443769,97.0,216.0,44.907407407407405,32.0,113.0,28.31858407079646,63.0,101.0,62.37623762376238,96.0,96.0,-61.0,142.0,148.0,38.0,246.0,107.0,20.0,0.0
UP,5.0,1000.0,367.0,57.0,67.0,139.0,206.0,83.0,73.0,83.0,36.0,11.0,47.0,133.0,316.0,42.08860759493671,103.0,211.0,48.81516587677725,30.0,105.0,28.57142857142857,71.0,109.0,65.13761467889908,122.0,107.0,15.0,164.0,132.0,65.0,199.0,168.0,62.0,3.0
UST,4.0,800.0,360.0,79.0,64.0,119.0,183.0,69.0,60.0,63.0,35.0,13.0,48.0,126.0,283.0,44.522968197879855,92.0,175.0,52.57142857142857,34.0,108.0,31.48148148148148,74.0,117.0,63.24786324786324,72.0,91.0,34.0,166.0,120.0,54.0,229.0,131.0,63.0,3.0
