TEAM,GP,MINS,PTS,SCP,OFF,DEF,REB,AST,TO,PTO,STL,BLK,STK,FGM,FGA,FG %,2PM,2PA,2P %,3PM,3PA,3P %,FTM,FTA,FT %,PF,Fls on:,+/-,PIP,PP,FBP,STP,BP,BL,GW
ADU,10.0,205.0,65.9,8.4,13.4,29.1,42.5,14.5,14.7,12.1,8.1,3.8,11.9,22.6,62.6,36.102236421725244,16.0,40.3,39.70223325062035,6.6,22.3,29.596412556053814,14.1,22.1,63.80090497737556,17.7,20.7,0.0,24.0,27.8,7.4,39.6,26.3,7.7,5.0
ATENEO,10.0,212.5,74.2,12.4,14.5,32.3,46.8,15.8,15.3,11.6,6.9,3.7,10.6,27.1,68.5,39.56204379562044,21.0,43.6,48.1651376146789,6.1,24.9,24.497991967871485,13.9,22.4,62.05357142857143,22.3,19.9,1.6,34.4,25.9,7.2,55.5,18.7,9.6,5.0
FEU,10.0,205.0,76.6,12.2,14.8,26.7,41.5,17.7,12.8,11.9,9.9,2.8,12.7,29.6,71.8,41.22562674094708,23.1,49.3,46.85598377281947,6.5,22.5,28.888888888888886,10.9,16.7,65.26946107784431,18.0,16.7,1.5,33.2,32.5,9.4,45.5,31.1,9.2,6.0
LA SALLE,10.0,202.5,78.9,9.8,11.7,29.3,41.0,16.6,16.4,12.2,8.2,3.2,11.4,29.0,66.4,43.674698795180724,22.1,43.7,50.57208237986271,6.9,22.7,30.396475770925107,14.0,21.3,65.72769953051643,24.1,20.3,-0.1,35.4,29.5,8.9,54.0,24.9,10.0,4.0
NU,10.0,202.5,65.3,10.6,13.1,25.6,38.7,14.2,16.1,12.6,7.7,1.8,9.5,22.2,61.6,36.038961038961034,16.7,38.6,43.26424870466321,5.5,23.0,23.91304347826087,15.4,24.0,64.16666666666667,19.7,23.2,-6.2,23.4,26.5,7.1,35.1,30.2,6.9,2.0
UE,10.0,202.5,83.8,14.7,16.2,29.9,46.1,20.4,14.0,14.0,10.1,3.8,13.9,30.2,70.7,42.71570014144272,22.0,44.0,50.0,8.2,26.7,30.711610486891384,15.2,23.8,63.86554621848739,20.7,20.2,10.0,34.2,34.4,11.8,49.5,34.3,16.8,10.0
UP,9.0,200.0,71.0,10.333333333333334,14.666666666666666,26.555555555555557,41.22222222222222,13.444444444444445,15.88888888888889,15.11111111111111,7.555555555555555,2.5555555555555554,10.11111111111111,25.11111111111111,63.44444444444444,39.57968476357268,19.88888888888889,42.55555555555556,46.73629242819843,5.222222222222222,20.88888888888889,25.0,15.555555555555555,24.444444444444443,63.63636363636363,20.444444444444443,22.444444444444443,-3.6666666666666665,29.77777777777778,25.666666666666668,8.666666666666666,48.666666666666664,22.333333333333332,8.555555555555555,3.0
UST,9.0,211.11111111111111,83.0,13.88888888888889,17.333333333333332,29.11111111111111,46.44444444444444,18.333333333333332,15.222222222222221,12.777777777777779,8.777777777777779,4.0,12.777777777777779,31.22222222222222,78.77777777777777,39.63328631875881,22.555555555555557,50.44444444444444,44.713656387665196,8.666666666666666,28.333333333333332,30.58823529411765,11.88888888888889,17.555555555555557,67.72151898734177,22.77777777777778,18.333333333333332,-3.888888888888889,36.22222222222222,34.888888888888886,14.88888888888889,50.666666666666664,32.333333333333336,10.222222222222221,4.0
