TEAM,GP,MINS,PTS,SCP,OFF,DEF,REB,AST,TO,PTO,STL,BLK,STK,FGM,FGA,FG %,2PM,2PA,2P %,3PM,3PA,3P %,FTM,FTA,FT %,PF,Fls on:,+/-,PIP,PP,FBP,STP,BP,BL,GW
ADU,11.0,204.54545454545453,65.9090909090909,8.0,12.727272727272727,28.90909090909091,41.63636363636363,14.636363636363637,14.727272727272727,12.727272727272727,8.454545454545455,3.6363636363636362,12.090909090909092,22.818181818181817,62.81818181818182,36.32416787264833,16.272727272727273,41.0,39.689578713968956,6.545454545454546,21.818181818181817,30.0,13.727272727272727,21.454545454545453,63.983050847457626,18.181818181818183,20.363636363636363,0.09090909090909091,24.181818181818183,28.0,8.090909090909092,39.0,26.90909090909091,7.545454545454546,6.0
ATENEO,10.0,212.5,74.2,12.4,14.5,32.3,46.8,15.8,15.3,11.6,6.9,3.7,10.6,27.1,68.5,39.56204379562044,21.0,43.6,48.1651376146789,6.1,24.9,24.497991967871485,13.9,22.4,62.05357142857143,22.3,19.9,1.6,34.4,25.9,7.2,55.5,18.7,9.6,5.0
FEU,10.0,205.0,76.6,12.2,14.8,26.7,41.5,17.7,12.8,11.9,9.9,2.8,12.7,29.6,71.8,41.22562674094708,23.1,49.3,46.85598377281947,6.5,22.5,28.888888888888886,10.9,16.7,65.26946107784431,18.0,16.7,1.5,33.2,32.5,9.4,45.5,31.1,9.2,6.0
LA SALLE,10.0,202.5,78.9,9.8,11.7,29.3,41.0,16.6,16.4,12.2,8.2,3.2,11.4,29.0,66.4,43.674698795180724,22.1,43.7,50.57208237986271,6.9,22.7,30.396475770925107,14.0,21.3,65.72769953051643,24.1,20.3,-0.1,35.4,29.5,8.9,54.0,24.9,10.0,4.0
NU,11.0,202.27272727272728,65.27272727272727,10.909090909090908,13.181818181818182,26.454545454545453,39.63636363636363,14.0,16.545454545454547,12.454545454545455,8.0,2.272727272727273,10.272727272727273,21.90909090909091,61.36363636363637,35.7037037037037,16.0,37.63636363636363,42.51207729468599,5.909090909090909,23.727272727272727,24.904214559386972,15.545454545454545,24.272727272727273,64.04494382022472,19.636363636363637,23.181818181818183,-5.7272727272727275,22.727272727272727,27.0,6.636363636363637,36.27272727272727,29.0,7.090909090909091,2.0
UE,11.0,202.27272727272728,82.54545454545455,14.636363636363637,15.818181818181818,30.363636363636363,46.18181818181818,20.09090909090909,14.363636363636363,13.727272727272727,10.272727272727273,4.090909090909091,14.363636363636363,29.90909090909091,70.0909090909091,42.67185473411154,22.09090909090909,44.0,50.20661157024794,7.818181818181818,26.09090909090909,29.965156794425084,14.909090909090908,24.0,62.121212121212125,21.272727272727273,20.545454545454547,9.909090909090908,34.72727272727273,32.90909090909091,11.636363636363637,47.27272727272727,35.27272727272727,17.636363636363637,11.0
UP,11.0,200.0,71.63636363636364,9.636363636363637,14.454545454545455,27.181818181818183,41.63636363636363,13.363636363636363,16.545454545454547,14.818181818181818,7.7272727272727275,2.6363636363636362,10.363636363636363,24.818181818181817,62.72727272727273,39.565217391304344,19.818181818181817,42.36363636363637,46.78111587982833,5.0,20.363636363636363,24.553571428571427,17.0,27.454545454545453,61.920529801324506,20.90909090909091,24.272727272727273,-3.909090909090909,30.181818181818183,24.454545454545453,8.545454545454545,48.27272727272727,23.363636363636363,8.636363636363637,3.0
UST,10.0,210.0,83.6,13.3,16.5,28.7,45.2,17.9,15.2,12.8,9.0,3.8,12.8,31.4,77.7,40.41184041184041,22.6,49.4,45.74898785425101,8.8,28.3,31.09540636042403,12.0,17.7,67.79661016949152,24.4,18.6,-3.4,35.2,36.4,14.2,49.5,34.1,10.0,5.0
