TEAM,GP,MINS,PTS,SCP,OFF,DEF,REB,AST,TO,PTO,STL,BLK,STK,FGM,FGA,FG %,2PM,2PA,2P %,3PM,3PA,3P %,FTM,FTA,FT %,PF,Fls on:,+/-,PIP,PP,FBP,STP,BP,BL,GW
ADU,2.0,400.0,119.0,18.0,27.0,62.0,89.0,27.0,29.0,23.0,14.0,8.0,22.0,39.0,113.0,34.51327433628318,30.0,77.0,38.961038961038966,9.0,36.0,25.0,32.0,62.0,51.61290322580645,41.0,53.0,-1.0,40.0,47.0,11.0,82.0,37.0,10.0,1.0
ATENEO,2.0,425.0,143.0,25.0,25.0,75.0,100.0,26.0,27.0,15.0,9.0,7.0,16.0,59.0,147.0,40.136054421768705,51.0,98.0,52.04081632653062,8.0,49.0,16.3265306122449,17.0,24.0,70.83333333333334,43.0,29.0,-5.0,82.0,44.0,24.0,114.0,29.0,8.0,0.0
FEU,2.0,425.0,170.0,25.0,28.0,58.0,86.0,45.0,19.0,39.0,21.0,5.0,26.0,64.0,159.0,40.25157232704403,45.0,107.0,42.05607476635514,19.0,52.0,36.53846153846153,23.0,35.0,65.71428571428571,34.0,39.0,19.0,60.0,87.0,27.0,103.0,67.0,27.0,2.0
LA SALLE,2.0,400.0,151.0,31.0,35.0,65.0,100.0,33.0,33.0,31.0,17.0,8.0,25.0,59.0,152.0,38.81578947368421,49.0,101.0,48.51485148514851,10.0,51.0,19.607843137254903,23.0,36.0,63.888888888888886,43.0,43.0,7.0,80.0,48.0,16.0,93.0,58.0,16.0,1.0
NU,2.0,400.0,125.0,22.0,26.0,51.0,77.0,25.0,35.0,14.0,14.0,6.0,20.0,40.0,118.0,33.89830508474576,30.0,78.0,38.46153846153847,10.0,40.0,25.0,35.0,54.0,64.81481481481481,34.0,42.0,-31.0,34.0,56.0,6.0,72.0,53.0,1.0,0.0
UE,2.0,400.0,134.0,27.0,29.0,66.0,95.0,30.0,28.0,29.0,21.0,7.0,28.0,51.0,134.0,38.059701492537314,37.0,88.0,42.04545454545455,14.0,46.0,30.434782608695656,18.0,33.0,54.54545454545454,38.0,37.0,17.0,52.0,64.0,18.0,76.0,58.0,35.0,2.0
UP,2.0,400.0,149.0,29.0,33.0,62.0,95.0,24.0,29.0,33.0,12.0,5.0,17.0,48.0,125.0,38.4,37.0,75.0,49.333333333333336,11.0,50.0,22.0,42.0,59.0,71.1864406779661,49.0,48.0,23.0,58.0,49.0,11.0,93.0,56.0,35.0,2.0
UST,2.0,400.0,151.0,16.0,28.0,50.0,78.0,36.0,32.0,32.0,16.0,3.0,19.0,59.0,144.0,40.97222222222222,45.0,98.0,45.91836734693878,14.0,46.0,30.434782608695656,19.0,35.0,54.285714285714285,52.0,37.0,-29.0,78.0,54.0,26.0,72.0,79.0,13.0,0.0
