TEAM,GP,MINS,PTS,SCP,OFF,DEF,REB,AST,TO,PTO,STL,BLK,STK,FGM,FGA,FG %,2PM,2PA,2P %,3PM,3PA,3P %,FTM,FTA,FT %,PF,Fls on:,+/-,PIP,PP,FBP,STP,BP,BL,GW
ADU,14.0,2850.0,927.0,131.0,192.0,408.0,600.0,200.0,197.0,176.0,113.0,48.0,161.0,323.0,887.0,36.41488162344983,230.0,577.0,39.86135181975737,93.0,310.0,30.0,188.0,298.0,63.08724832214765,256.0,279.0,16.0,330.0,409.0,108.0,564.0,363.0,131.0,8.0
ATENEO,14.0,2925.0,1027.0,171.0,206.0,446.0,652.0,218.0,203.0,154.0,84.0,58.0,142.0,372.0,949.0,39.199157007376186,290.0,603.0,48.09286898839137,82.0,346.0,23.699421965317917,201.0,311.0,64.63022508038586,291.0,278.0,23.0,462.0,364.0,99.0,743.0,284.0,124.0,8.0
FEU,14.0,2850.0,1075.0,178.0,221.0,369.0,590.0,250.0,169.0,182.0,132.0,39.0,171.0,418.0,1019.0,41.02060843964671,329.0,696.0,47.270114942528735,89.0,323.0,27.55417956656347,150.0,247.0,60.72874493927125,274.0,245.0,11.0,482.0,443.0,129.0,626.0,449.0,109.0,7.0
LA SALLE,14.0,2825.0,1088.0,151.0,172.0,403.0,575.0,229.0,212.0,149.0,102.0,43.0,145.0,403.0,922.0,43.70932754880694,308.0,609.0,50.57471264367817,95.0,313.0,30.35143769968051,187.0,287.0,65.1567944250871,336.0,268.0,-10.0,484.0,417.0,116.0,767.0,321.0,147.0,6.0
NU,14.0,2825.0,936.0,151.0,179.0,366.0,545.0,198.0,216.0,188.0,111.0,37.0,148.0,316.0,855.0,36.95906432748538,231.0,537.0,43.01675977653631,85.0,318.0,26.729559748427672,219.0,340.0,64.41176470588236,264.0,326.0,-69.0,342.0,375.0,109.0,521.0,415.0,112.0,3.0
UE,14.0,2825.0,1184.0,208.0,220.0,419.0,639.0,285.0,206.0,193.0,131.0,53.0,184.0,422.0,963.0,43.821391484942886,312.0,609.0,51.231527093596064,110.0,354.0,31.07344632768362,230.0,364.0,63.18681318681318,305.0,302.0,137.0,496.0,458.0,153.0,680.0,504.0,250.0,14.0
UP,14.0,2800.0,1015.0,140.0,201.0,372.0,573.0,185.0,209.0,197.0,104.0,36.0,140.0,349.0,895.0,38.99441340782123,269.0,591.0,45.5160744500846,80.0,304.0,26.31578947368421,237.0,372.0,63.70967741935484,287.0,337.0,-47.0,402.0,376.0,109.0,680.0,335.0,118.0,4.0
UST,14.0,2900.0,1144.0,182.0,226.0,400.0,626.0,244.0,203.0,181.0,118.0,49.0,167.0,433.0,1072.0,40.39179104477612,320.0,698.0,45.845272206303726,113.0,374.0,30.213903743315505,165.0,251.0,65.73705179282868,334.0,259.0,-61.0,492.0,487.0,189.0,675.0,469.0,133.0,6.0
