TEAM,NO.,PLAYER,GP,MINS,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,FGM,FGA,FG %,2PM,2PA,2P %,3PM,3PA,3P %,FTM,FTA,FT %,PF,Fls on:,+/-,GW
ADU,3,M. Montebon,5.0,21.53333333333333,7.0,0.2,3.2,3.4,2.6,2.4,1.2,0.4,1.6,2.0,9.2,21.73913043478261,0.8,4.0,20.0,1.2,5.2,23.076923076923077,1.8,2.8,64.28571428571429,1.8,2.4,-5.0,1.0
ADU,8,H. Demisana,4.0,5.25,1.0,1.0,0.75,1.75,0.25,0.75,0.25,0.25,0.5,0.5,1.5,33.33333333333333,0.5,1.0,50.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.25,0.0,1.0
ADU,9,L. Perez,5.0,7.656666666666668,3.0,0.8,1.4,2.2,0.2,0.2,0.0,0.0,0.0,1.2,2.0,60.0,1.2,2.0,60.0,0.0,0.0,0.0,0.6,0.6,100.0,0.8,0.8,-2.2,1.0
ADU,10,C. Manzano,5.0,22.256666666666664,10.4,1.8,3.4,5.2,2.0,2.8,0.4,0.8,1.2,4.4,8.4,52.38095238095239,4.2,7.6,55.26315789473685,0.2,0.8,25.0,1.4,2.0,70.0,3.2,3.2,3.4,1.0
ADU,11,J. Barcelona,5.0,6.7666666666666675,0.6,0.4,0.4,0.8,0.0,0.2,0.0,0.0,0.0,0.2,1.4,14.285714285714285,0.0,1.2,0.0,0.2,0.2,100.0,0.0,0.0,0.0,0.8,0.2,-2.4,1.0
ADU,15,R. Torres,5.0,14.033333333333335,5.6,0.4,1.0,1.4,1.2,1.4,0.6,0.0,0.6,2.4,6.0,40.0,1.8,3.0,60.0,0.6,3.0,20.0,0.2,0.6,33.33333333333333,1.0,0.8,-2.0,1.0
ADU,18,J. Erolon,5.0,22.133333333333336,10.4,0.2,1.4,1.6,3.0,1.2,0.4,0.0,0.4,3.6,10.4,34.61538461538461,1.6,5.0,32.0,2.0,5.4,37.03703703703704,1.2,1.8,66.66666666666666,2.4,1.6,0.4,1.0
ADU,19,J. Jaymalin,3.0,3.1666666666666665,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,100.0,0.6666666666666666,0.3333333333333333,2.3333333333333335,0.0
ADU,20,E. Anabo,5.0,20.696666666666673,4.4,2.0,3.6,5.6,1.6,1.2,1.8,0.0,1.8,1.0,6.0,16.666666666666664,0.4,2.0,20.0,0.6,4.0,15.0,1.8,2.8,64.28571428571429,2.2,2.0,-1.4,1.0
ADU,21,J. Medina,5.0,18.71,3.6,0.4,1.2,1.6,0.6,0.8,0.8,0.0,0.8,1.4,4.6,30.434782608695656,0.6,2.0,30.0,0.8,2.6,30.76923076923077,0.0,0.0,0.0,1.4,1.2,-7.6,1.0
ADU,23,M. Ojarikre,5.0,17.999999999999996,4.6,3.6,4.8,8.4,0.6,1.4,0.2,1.2,1.4,1.8,3.0,60.0,1.8,3.0,60.0,0.0,0.0,0.0,1.0,1.8,55.55555555555556,1.8,2.0,-5.2,1.0
ADU,25,K. Cañete,3.0,1.8,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,100.0,0.3333333333333333,0.3333333333333333,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0
ADU,27,A. Fransman,5.0,17.79,4.6,1.2,4.8,6.0,0.8,2.4,0.4,0.0,0.4,1.4,6.6,21.21212121212121,0.8,3.8,21.052631578947366,0.6,2.8,21.428571428571427,1.2,2.0,60.0,1.6,1.4,-1.8,1.0
